YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,FLOODS
1915,0.0,20.2,31.4,19.1,85.0,166.4,352.4,210.2,217.2,102.8,41.7,17.9,1264.4,20.2,135.5,946.2,162.5,1
1916,11.3,26.6,20.8,55.3,63.2,171.8,361.2,267.8,186.3,40.1,25.2,26.9,1256.4,37.8,139.3,987.1,92.2,1
1917,5.8,23.2,0.0,84.2,31.9,201.7,246.8,284.9,120.4,95.6,19.4,12.4,1126.4,29.0,116.2,853.8,127.4,1
1918,21.8,0.0,66.8,39.6,74.8,290.9,281.1,327.4,111.1,83.3,3.3,6.0,1306.0,21.8,181.2,1010.5,92.6,1
1919,7.1,18.8,32.8,0.0,42.0,223.9,225.7,323.3,140.1,70.5,52.4,23.9,1160.5,25.9,74.8,913.1,146.8,1
1920,1.1,10.1,37.2,59.7,112.2,170.1,280.3,291.5,284.7,126.6,5.7,15.0,1394.2,11.1,209.2,1026.6,147.3,1
1921,35.6,24.5,29.0,66.7,105.3,175.2,342.9,288.2,305.1,47.7,32.0,25.2,1477.0,60.0,200.9,1111.3,104.8,1
1922,15.3,63.8,16.8,10.1,78.9,146.1,304.4,329.0,200.7,92.4,14.1,19.9,1291.5,79.1,105.8,980.2,126.4,1
1923,18.8,27.1,26.7,48.9,100.1,122.8,386.8,221.6,197.7,137.3,48.5,7.3,1343.6,46.0,175.6,928.9,193.1,1
1924,0.9,17.6,1.2,54.9,63.8,144.6,215.1,395.3,172.5,55.1,26.3,27.8,1175.3,18.5,120.0,927.5,109.3,1
1925,11.5,34.9,71.0,43.4,83.4,132.5,330.0,140.8,141.4,70.7,30.3,6.4,1096.4,46.4,197.8,744.7,107.4,1
1926,19.3,28.8,7.8,27.6,103.4,210.9,207.6,379.0,261.5,171.1,31.0,22.9,1470.9,48.1,138.8,1059.0,225.0,1
1927,4.2,27.9,11.4,67.4,68.9,116.1,301.6,276.9,287.4,100.0,39.1,30.1,1330.9,32.1,147.6,982.0,169.2,1
1928,22.5,30.5,22.1,36.1,54.9,248.3,346.8,348.2,143.5,62.8,33.3,11.8,1360.7,53.0,113.1,1086.9,107.8,1
1929,10.8,50.8,53.2,12.3,14.3,216.4,280.0,304.7,185.7,112.5,32.1,28.7,1301.5,61.6,79.8,986.8,173.4,1
1930,14.5,6.2,30.3,0.0,59.7,176.1,333.6,303.5,166.6,60.4,22.6,20.4,1193.9,20.7,89.9,979.8,103.4,1
1931,10.8,28.6,7.7,72.7,85.1,175.0,227.8,317.7,168.1,22.5,1.5,25.4,1143.0,39.4,165.5,888.7,49.4,1
1932,40.2,9.0,52.6,58.6,88.5,144.3,178.5,335.0,251.7,134.1,10.6,6.8,1310.0,49.3,199.6,909.6,151.6,1
1933,17.8,29.8,43.2,46.9,76.1,189.9,334.0,257.6,121.8,40.1,47.4,18.4,1222.9,47.6,166.2,903.3,105.8,0
1934,5.3,9.1,39.7,35.3,46.8,234.8,417.1,350.4,214.3,175.2,26.9,0.5,1555.4,14.4,121.8,1216.5,202.6,1
1935,27.9,16.2,42.9,33.4,6.6,136.3,225.3,206.3,227.9,63.4,19.7,34.8,1040.6,44.0,82.9,795.7,117.9,1
1936,3.3,17.9,73.1,21.3,48.1,90.7,380.6,279.6,182.6,163.1,4.9,0.0,1265.2,21.2,142.6,933.5,167.9,1
1937,20.5,35.7,69.3,35.5,53.5,213.7,298.0,336.8,236.4,30.0,0.0,12.1,1341.6,56.2,158.3,1085.0,42.1,1
1938,0.0,34.9,17.6,0.0,53.2,192.8,201.5,347.7,197.7,121.0,18.9,5.8,1191.1,34.9,70.9,939.7,145.7,1
1939,2.1,4.6,59.2,28.8,79.3,113.4,215.8,311.3,253.3,101.0,50.8,23.4,1243.0,6.6,167.4,893.8,175.2,0
1940,20.4,22.8,36.9,38.2,117.6,134.7,296.1,253.2,110.8,113.8,21.9,37.2,1203.5,43.1,192.7,794.9,172.9,0
1941,26.9,12.1,39.0,58.4,65.5,127.7,266.7,341.0,171.9,118.8,41.0,23.2,1292.1,38.9,162.9,907.3,183.0,0
1942,20.1,4.4,0.0,44.1,55.9,135.2,203.1,234.5,186.3,63.1,20.9,48.6,1016.1,24.4,100.1,759.0,132.6,1
1943,16.6,19.0,26.9,62.5,54.7,157.2,176.4,399.1,51.0,32.3,45.8,0.8,1042.4,35.6,144.2,783.8,78.9,1
1944,14.4,17.7,15.4,74.7,65.5,160.3,235.7,274.2,133.5,80.1,26.0,1.7,1099.2,32.1,155.5,803.8,107.7,1
1945,0.3,56.0,44.9,68.3,38.8,139.2,308.6,175.3,147.7,90.5,8.4,6.2,1084.0,56.2,152.0,770.8,105.0,1
1946,9.4,28.1,49.3,55.4,65.4,133.3,294.6,198.8,239.3,64.1,27.6,17.3,1182.4,37.4,170.0,865.9,109.0,1
1947,12.5,2.7,0.0,45.3,74.6,162.4,259.9,283.0,153.2,92.5,69.7,4.7,1160.5,15.2,119.9,858.5,166.9,1
1948,30.7,14.1,29.6,23.4,67.9,184.2,309.1,289.5,147.5,94.5,68.8,7.7,1267.1,44.8,120.9,930.3,171.1,1
1949,22.1,36.3,50.2,61.3,74.8,157.6,367.8,413.9,232.5,47.4,42.7,22.8,1529.5,58.4,186.3,1171.9,113.0,1
1950,0.0,51.2,26.6,82.0,74.1,238.7,322.6,209.4,105.9,97.0,30.3,2.4,1240.2,51.2,182.7,876.6,129.6,1
1951,21.9,0.0,43.1,52.5,12.4,202.9,286.5,282.7,82.3,71.8,39.1,3.5,1098.8,21.9,108.0,854.4,114.5,0
1952,13.4,0.0,36.3,87.2,79.8,87.5,360.0,208.0,171.2,55.4,39.3,11.6,1149.7,13.4,203.3,826.6,106.4,1
1953,9.9,48.2,36.1,11.4,43.2,203.8,227.8,246.5,114.7,111.9,32.2,12.7,1098.5,58.1,90.8,792.8,156.8,1
1954,25.3,27.5,25.1,19.6,31.3,208.3,279.3,394.5,116.7,52.5,41.8,27.1,1249.0,52.8,76.0,998.8,121.4,0
1955,30.4,9.8,8.1,63.8,31.1,151.1,280.9,202.7,219.8,64.6,37.2,6.1,1105.7,40.2,103.0,854.6,107.9,1
1956,29.2,29.5,9.8,50.8,74.1,92.8,208.4,319.9,235.6,84.7,26.7,8.1,1169.6,58.7,134.8,856.6,119.5,1
1957,7.9,0.0,42.8,73.9,55.8,175.4,265.6,306.7,231.0,134.2,9.1,22.4,1324.9,7.9,172.4,978.8,165.7,1
1958,14.3,22.0,30.4,44.7,14.9,174.6,149.8,278.4,247.7,89.3,23.8,24.8,1114.5,36.3,89.9,850.3,137.9,1
1959,22.0,26.6,27.5,25.9,75.4,113.3,428.9,315.3,254.5,102.1,49.0,31.7,1472.2,48.6,128.8,1112.0,182.8,1
1960,29.7,34.9,22.4,40.3,21.7,95.2,229.4,201.1,79.3,70.7,32.4,21.2,878.2,64.6,84.4,605.0,124.2,0
1961,12.2,7.8,24.5,11.3,65.9,170.2,406.0,392.6,213.4,79.0,39.0,17.4,1439.5,20.1,101.7,1182.3,135.5,1
1962,15.8,23.2,48.8,20.2,68.7,162.2,297.7,410.9,162.5,80.1,27.3,22.3,1339.7,39.0,137.7,1033.2,129.8,1
1963,4.7,9.0,24.0,66.4,86.8,152.1,334.5,283.2,151.1,93.1,11.8,13.1,1229.9,13.8,177.2,920.9,118.0,1
1964,3.6,25.6,5.9,64.2,111.9,170.4,260.8,444.8,219.1,70.8,28.2,13.0,1418.2,29.2,181.9,1095.1,112.0,1
1965,27.8,9.5,43.4,53.0,23.8,114.3,309.6,252.9,100.0,132.9,12.6,0.0,1079.6,37.2,120.2,776.8,145.5,1
1966,34.3,16.3,26.3,7.1,60.5,151.1,340.5,307.2,98.9,67.8,11.3,25.8,1147.3,50.6,94.0,897.8,104.9,1
1967,17.1,8.1,30.6,37.1,54.3,204.3,341.5,377.4,222.9,17.1,57.1,18.3,1385.9,25.2,121.9,1146.2,92.6,1
1968,30.0,31.1,58.9,18.1,74.1,155.8,349.2,248.8,215.4,186.2,24.6,24.5,1416.8,61.2,151.1,969.1,235.4,1
1969,22.3,34.0,29.6,70.9,68.0,83.0,269.2,186.1,197.1,69.6,18.2,0.0,1048.1,56.4,168.6,735.4,87.7,1
1970,10.3,18.7,35.2,32.2,52.1,149.0,261.4,170.4,144.2,131.9,65.4,15.5,1086.2,29.0,119.5,725.0,212.7,0
1971,22.3,22.5,8.8,21.1,49.7,116.1,183.4,420.1,228.7,135.4,49.3,6.6,1264.1,44.9,79.5,948.4,191.3,1
1972,36.5,1.7,26.0,45.7,30.7,189.7,331.6,244.0,225.4,117.9,25.6,32.5,1307.3,38.2,102.4,990.7,176.0,1
1973,17.6,17.8,41.0,30.9,89.7,192.5,370.8,267.4,194.4,74.5,41.6,22.8,1360.8,35.4,161.5,1025.1,138.8,1
1974,36.8,21.3,2.0,77.6,74.9,83.8,408.1,204.3,128.8,92.9,28.3,18.6,1177.3,58.1,154.5,825.0,139.8,1
1975,0.0,58.7,33.6,28.8,87.7,216.7,316.4,344.5,167.9,33.6,19.1,11.2,1318.3,58.7,150.1,1045.5,64.0,1
1976,27.9,6.4,31.8,14.2,53.3,113.8,241.3,226.9,233.6,157.6,42.5,20.4,1169.7,34.3,99.3,815.6,220.5,1
1977,19.0,42.5,30.7,0.0,43.6,260.8,176.2,246.6,259.0,49.6,26.5,5.8,1160.4,61.5,74.4,942.6,81.9,0
1978,14.4,36.0,48.7,44.3,31.8,172.3,367.9,300.4,173.0,72.4,34.5,14.9,1310.6,50.4,124.8,1013.6,121.8,1
1979,19.1,25.9,36.0,32.6,72.0,106.4,169.3,207.6,177.0,85.8,53.4,9.6,994.9,45.0,140.7,660.4,148.8,0
1980,0.0,46.6,56.6,13.6,32.9,112.2,271.2,267.9,181.6,77.9,51.2,40.9,1152.5,46.6,103.1,832.8,170.1,1
1981,15.4,27.2,12.1,71.2,113.8,194.1,279.3,375.4,204.3,57.0,22.0,32.2,1403.9,42.6,197.0,1053.1,111.2,1
1982,22.3,27.4,32.4,59.7,25.4,153.5,290.1,309.1,159.8,135.0,42.7,27.7,1285.2,49.7,117.5,912.5,205.4,1
1983,35.7,21.3,31.5,44.4,69.7,169.7,297.5,288.9,39.5,118.1,10.4,0.0,1126.7,57.0,145.6,795.6,128.6,1
1984,11.8,39.1,10.8,75.0,105.9,263.7,304.7,294.6,252.0,94.2,42.0,25.5,1519.3,50.9,191.6,1115.0,161.8,1
1985,8.3,37.4,47.2,59.6,78.8,136.5,125.9,253.5,283.3,66.8,36.0,18.1,1151.4,45.6,185.6,799.3,120.9,1
1986,12.0,13.2,71.8,26.9,66.9,178.3,296.0,415.7,158.2,122.4,40.6,29.5,1431.6,25.2,165.7,1048.2,192.5,1
1987,29.0,3.5,29.7,22.1,34.9,253.1,138.9,224.8,134.5,64.4,27.1,19.5,981.5,32.5,86.7,751.3,110.9,1
1988,21.9,19.2,39.1,63.0,23.3,189.9,346.3,294.3,182.9,141.7,74.7,15.9,1412.1,41.1,125.4,1013.3,232.3,1
1989,11.6,10.8,31.5,53.7,83.6,86.6,256.1,287.8,180.2,86.2,15.0,18.6,1121.9,22.4,168.8,810.8,119.8,1
1990,24.2,21.1,17.2,48.7,104.2,202.8,144.0,348.6,241.8,128.7,52.4,0.0,1333.7,45.3,170.1,937.2,181.2,0
1991,19.2,39.3,0.0,26.4,49.7,111.0,238.0,355.0,192.8,77.7,12.4,7.6,1129.1,58.5,76.1,896.9,97.6,1
1992,29.6,15.6,17.3,58.4,30.1,252.4,255.1,277.8,148.8,84.7,43.1,20.1,1233.0,45.2,105.8,934.1,147.9,1
1993,9.6,21.4,4.9,28.4,0.0,129.7,378.3,299.8,121.4,128.6,44.5,28.5,1195.2,31.0,33.3,929.3,201.6,1
1994,14.1,22.8,60.7,42.8,34.5,338.3,308.8,302.3,235.0,165.4,34.1,9.9,1568.7,36.9,138.0,1184.4,209.4,1
1995,13.3,33.9,27.9,76.8,58.8,255.7,319.1,125.5,221.2,141.3,23.1,15.6,1312.2,47.2,163.6,921.5,179.9,1
1996,0.4,0.0,23.8,30.5,106.8,131.2,377.7,171.9,245.1,115.3,35.8,0.0,1238.6,0.4,161.0,926.0,151.2,1
1997,21.6,13.5,46.0,10.4,80.8,176.1,288.3,238.9,139.7,104.4,38.3,32.1,1190.0,35.1,137.2,842.9,174.8,1
1998,21.1,25.0,9.8,21.8,70.5,216.5,347.8,241.8,285.6,62.7,68.8,28.3,1399.7,46.1,102.2,1091.7,159.8,1
1999,18.1,38.8,16.2,66.9,50.8,218.1,342.9,198.4,99.3,93.2,15.6,23.2,1181.4,56.9,133.9,858.7,131.9,1
2000,15.2,15.1,31.2,50.6,45.7,199.3,204.9,331.0,226.9,47.3,21.9,20.5,1209.6,30.3,127.5,962.1,89.7,1
2001,1.0,0.0,48.5,42.2,101.4,243.9,398.1,280.1,90.7,96.3,38.7,33.1,1373.9,1.0,192.0,1012.8,168.1,1
2002,13.0,30.7,39.0,33.8,67.6,168.2,195.6,265.4,148.9,98.7,27.9,7.1,1095.9,43.6,140.5,778.1,133.7,1
2003,13.9,13.1,34.5,55.7,3.1,154.8,359.2,194.6,271.2,7.5,31.0,6.0,1144.5,27.0,93.3,979.8,44.4,1
2004,8.4,5.3,31.4,26.3,43.1,155.9,188.8,277.0,233.2,83.5,54.4,27.7,1135.1,13.7,100.9,854.9,165.6,1
2005,16.1,13.3,37.2,51.7,38.0,222.2,337.1,101.4,161.6,97.8,0.0,26.9,1103.2,29.3,126.9,822.3,124.7,1
2006,22.8,19.4,33.6,28.9,46.7,195.1,425.3,268.9,163.0,78.8,21.0,2.9,1306.6,42.3,109.2,1052.4,102.7,1
2007,40.6,13.5,11.5,25.3,77.8,191.0,280.1,284.3,195.2,95.6,0.0,10.2,1225.0,54.2,114.5,950.6,105.8,0
2008,20.1,0.0,30.8,31.0,59.0,218.7,277.1,296.5,216.7,31.0,9.1,34.6,1224.5,20.1,120.8,1009.0,74.7,1
2009,21.1,34.6,10.7,36.7,59.8,62.2,337.7,173.6,255.1,52.5,81.1,20.5,1145.7,55.6,107.3,828.6,154.1,0
2010,17.1,39.8,31.5,43.9,98.8,192.1,271.9,295.3,166.3,121.3,45.0,24.7,1347.6,57.0,174.2,925.6,190.9,1
2011,0.0,31.1,21.3,50.2,42.5,187.0,422.3,209.2,106.2,82.0,52.0,3.3,1207.1,31.1,114.0,924.7,137.3,1
2012,17.7,6.1,75.7,0.0,114.2,266.8,308.5,224.8,198.2,94.9,31.4,23.2,1361.3,23.8,189.9,998.2,149.5,1
2013,18.7,19.2,29.3,27.2,43.2,90.9,272.6,328.8,166.2,61.2,48.2,0.4,1106.0,37.9,99.7,858.5,109.8,1
2014,47.6,21.9,4.7,36.4,64.5,260.6,257.2,417.0,122.4,82.7,0.0,0.0,1315.0,69.5,105.6,1057.2,82.7,1
2015,15.7,30.4,27.6,78.1,54.1,179.1,229.7,283.5,205.5,0.0,53.8,24.0,1181.5,46.1,159.8,897.8,77.8,1
2016,21.6,31.4,39.3,21.2,65.5,201.9,251.1,224.4,178.9,114.1,16.6,31.8,1197.9,53.0,126.0,856.3,162.5,1
2017,17.6,11.7,60.1,48.6,74.4,267.2,270.5,292.8,205.9,150.7,22.4,13.2,1435.1,29.3,183.2,1036.4,186.3,1
2018,4.0,23.1,19.4,77.9,74.1,205.8,260.9,343.9,143.5,41.5,43.1,10.0,1247.2,27.1,171.4,954.1,94.6,1
2019,31.7,28.4,1.5,16.1,40.9,197.0,248.9,322.2,215.3,46.3,39.3,34.8,1222.6,60.1,58.5,983.5,120.4,1
2020,27.0,42.4,44.7,53.7,30.6,188.3,441.9,466.5,121.5,98.8,34.7,13.9,1563.9,69.4,128.9,1218.3,147.3,1
2021,27.5,31.9,5.1,27.4,132.1,148.4,222.9,231.4,147.0,138.0,5.7,15.3,1132.6,59.4,164.6,749.6,159.0,0
2022,7.1,33.0,22.1,33.9,48.4,173.4,305.3,297.2,177.4,81.9,35.0,34.6,1249.4,40.1,104.5,953.2,151.6,1
2023,34.8,23.2,25.4,27.3,81.6,135.6,336.5,385.3,280.6,35.3,52.2,12.1,1429.9,58.0,134.3,1138.0,99.6,1
2024,1.2,41.7,28.7,28.9,17.0,172.5,339.1,381.1,230.8,74.1,22.4,8.8,1346.3,42.9,74.6,1123.5,105.2,1
2025,25.0,27.7,42.4,104.9,54.2,46.5,290.9,147.4,246.0,42.9,59.3,25.0,1112.2,52.8,201.5,730.8,127.1,0
2026,44.3,9.9,17.7,63.6,58.4,198.6,278.2,279.8,263.7,56.6,15.5,8.2,1294.4,54.2,139.7,1020.2,80.3,1
2027,6.1,41.6,25.1,69.2,75.2,168.3,326.6,380.9,377.3,70.4,33.1,14.4,1588.5,47.8,169.5,1253.2,118.0,1
2028,11.2,31.8,29.7,55.8,0.0,156.5,313.7,476.6,192.2,46.7,63.7,1.5,1379.3,43.0,85.6,1138.9,111.9,1
2029,19.2,15.8,32.7,9.7,66.7,187.1,276.9,327.9,263.9,52.4,19.4,18.0,1289.5,35.0,109.0,1055.7,89.9,1
2030,12.0,15.3,31.8,53.7,29.8,96.2,185.7,255.0,242.7,84.8,54.1,16.7,1077.6,27.2,115.3,779.5,155.7,0
2031,0.0,26.2,37.8,68.6,71.1,281.1,262.2,211.4,241.8,90.2,72.5,26.6,1389.5,26.2,177.5,996.5,189.3,1
2032,18.8,28.5,45.2,26.2,33.0,169.3,214.7,430.9,282.3,27.9,36.4,25.4,1338.7,47.3,104.4,1097.2,89.7,1
2033,5.3,24.8,37.1,66.2,38.0,167.0,248.3,329.6,168.2,97.1,22.5,22.1,1226.0,30.0,141.4,913.0,141.6,1
2034,23.7,26.4,38.2,60.5,54.3,121.9,297.3,222.3,164.1,67.5,17.5,20.3,1114.0,50.0,153.0,805.6,105.4,1
2035,7.0,45.8,1.5,85.7,32.5,176.3,320.1,266.2,206.6,109.4,59.1,15.2,1325.5,52.8,119.8,969.2,183.7,1
2036,36.6,37.0,30.9,35.8,48.7,251.3,419.6,301.1,180.5,111.7,58.5,22.7,1534.4,73.6,115.4,1152.5,192.9,1
2037,8.6,24.7,38.6,20.9,28.6,232.0,257.4,317.0,206.6,61.3,62.0,3.8,1261.3,33.3,88.1,1012.9,127.1,1
2038,14.1,35.2,43.1,37.0,10.7,222.0,349.2,218.8,271.3,105.3,32.3,0.0,1339.1,49.3,90.8,1061.3,137.7,0
2039,27.8,7.5,17.5,76.6,90.5,205.1,316.4,238.2,165.1,50.2,53.8,28.8,1277.5,35.3,184.6,924.8,132.7,0
2040,3.2,27.6,18.1,4.8,25.7,155.3,385.7,167.6,174.2,132.3,32.0,23.4,1149.9,30.8,48.6,882.8,187.7,1
2041,20.7,47.3,19.7,0.0,57.0,95.2,335.3,350.7,199.1,51.6,15.3,14.6,1206.6,68.1,76.7,980.3,81.6,1
2042,33.7,18.9,39.7,47.0,83.1,163.9,224.4,256.8,178.1,95.4,55.5,27.8,1224.3,52.6,169.7,823.2,178.7,1
2043,0.0,10.1,48.6,35.3,44.8,162.0,174.4,311.7,90.5,74.9,65.7,8.0,1025.9,10.1,128.7,738.6,148.5,0
2044,20.2,12.9,22.7,45.2,38.9,232.7,316.8,376.7,159.8,43.4,12.6,8.2,1290.0,33.1,106.7,1086.0,64.2,1
2045,21.1,6.7,46.3,65.8,68.3,192.0,258.0,295.0,225.7,116.2,12.2,6.7,1314.2,27.9,180.5,970.7,135.2,1
2046,27.4,11.0,32.2,32.8,93.3,263.7,226.4,272.3,264.8,58.7,33.8,22.2,1338.6,38.4,158.4,1027.1,114.7,1
2047,3.2,16.8,27.8,3.8,29.3,240.9,206.3,293.2,130.0,17.4,52.1,0.0,1020.6,20.0,60.8,870.3,69.5,1
2048,2.2,2.3,26.2,90.0,57.8,149.9,306.3,284.3,129.7,0.0,10.3,7.6,1066.5,4.5,174.0,870.2,17.9,0
2049,24.3,22.2,43.4,23.1,13.5,76.3,400.5,364.7,191.6,48.7,37.5,19.2,1265.1,46.5,80.0,1033.1,105.5,1
2050,21.6,34.6,35.9,21.7,51.0,251.2,266.4,301.1,82.1,134.3,21.2,2.8,1223.8,56.2,108.6,900.8,158.2,1
2051,21.0,9.3,71.0,69.3,63.0,249.8,336.3,243.0,166.9,129.8,47.0,8.7,1415.0,30.3,203.2,995.9,185.5,1
2052,22.2,43.3,14.7,36.5,38.1,99.9,287.8,351.3,99.7,54.7,17.0,0.0,1065.1,65.4,89.3,838.7,71.7,0
2053,9.8,29.2,39.3,43.6,49.2,258.0,204.7,363.7,261.2,67.8,48.4,22.7,1397.6,39.0,132.1,1087.6,138.9,1
2054,20.8,36.4,20.5,55.6,22.6,196.0,346.4,189.0,150.0,64.3,29.8,8.4,1139.9,57.2,98.7,881.4,102.6,1
2055,21.5,12.8,14.4,68.8,64.2,183.8,218.4,384.2,275.9,31.3,14.3,3.9,1293.5,34.3,147.3,1062.4,49.5,1
2056,9.4,34.0,29.8,37.7,91.6,263.8,296.5,304.8,247.9,45.9,34.3,1.8,1397.4,43.4,159.0,1113.0,82.0,1
2057,40.4,6.7,32.5,78.4,31.3,249.0,271.1,299.3,156.4,119.3,0.0,11.4,1295.7,47.1,142.2,975.7,130.7,1
2058,23.7,34.5,82.5,0.0,44.6,210.8,357.5,348.5,134.3,101.1,21.8,0.0,1359.3,58.1,127.1,1051.0,123.0,1
2059,3.7,24.4,26.7,61.7,76.1,201.0,220.9,241.4,179.9,92.4,39.7,37.4,1205.4,28.1,164.5,843.3,169.5,1
2060,25.9,29.7,9.7,26.5,95.9,208.9,322.4,344.9,184.6,31.3,0.0,0.0,1279.7,55.6,132.1,1060.7,31.3,1
2061,6.3,5.5,34.9,75.2,20.2,153.0,236.2,254.4,208.0,85.8,0.0,11.0,1090.6,11.8,130.3,851.6,96.9,1
2062,27.4,9.5,0.0,48.1,57.3,172.0,259.2,179.7,149.6,0.0,0.0,17.2,920.0,36.9,105.4,760.5,17.2,1
2063,31.9,30.4,28.3,30.2,69.9,125.4,40.5,212.2,228.8,114.0,59.5,7.5,978.6,62.3,128.5,606.9,181.0,1
2064,8.2,8.7,30.3,59.6,59.1,156.7,441.4,318.6,203.8,91.8,31.5,18.3,1428.0,16.9,149.0,1120.5,141.6,1
2065,29.6,28.5,44.3,64.7,0.0,154.8,333.5,215.7,172.3,30.9,22.4,7.2,1103.8,58.0,109.0,876.4,60.4,1
2066,23.0,2.9,47.5,59.1,76.0,140.1,241.3,389.5,153.0,143.4,51.9,32.8,1360.5,25.8,182.7,923.8,228.2,1
2067,27.9,33.9,20.9,22.3,104.5,182.5,216.3,360.9,180.4,13.7,24.9,3.7,1192.0,61.7,147.8,940.1,42.3,1
2068,40.8,4.7,27.3,34.4,65.3,157.2,260.3,370.7,147.5,102.2,38.4,0.0,1248.6,45.5,126.9,935.7,140.5,1
2069,15.1,29.7,16.2,44.9,33.1,202.6,345.2,288.5,193.0,103.1,33.5,1.7,1306.7,44.8,94.2,1029.3,138.3,1
2070,9.0,30.8,9.7,44.1,47.6,85.8,162.6,297.5,194.4,34.9,23.6,20.3,960.2,39.7,101.4,740.3,78.7,0
2071,7.3,12.2,35.6,61.5,111.6,168.8,285.1,198.8,203.6,80.6,38.9,14.7,1218.6,19.6,208.6,856.3,134.1,0
2072,8.2,30.1,7.1,0.7,87.5,182.2,418.9,347.7,281.8,19.8,48.5,24.3,1456.9,38.4,95.2,1230.7,92.5,1
2073,17.1,25.6,22.5,52.4,79.9,157.9,215.6,305.8,183.1,0.0,29.3,21.5,1110.8,42.7,154.8,862.5,50.8,1
2074,22.1,14.5,12.1,38.6,72.0,165.5,300.6,318.6,242.2,41.4,23.8,9.0,1260.4,36.6,122.7,1027.0,74.2,1
2075,21.3,7.9,39.9,26.6,43.5,87.8,449.2,394.8,201.9,58.6,26.1,10.6,1368.3,29.2,109.9,1133.8,95.3,1
2076,27.9,0.0,62.4,28.7,56.4,194.6,339.3,238.8,177.6,106.5,0.0,11.8,1243.9,27.9,147.5,950.3,118.2,1
2077,18.2,26.9,6.6,40.3,59.8,210.6,303.8,271.4,183.8,84.6,38.7,36.7,1281.3,45.1,106.7,969.7,160.0,1
2078,35.4,0.1,0.0,0.0,77.4,202.1,330.5,302.2,186.9,85.6,8.8,23.6,1252.7,35.5,77.4,1021.8,118.0,1
2079,14.8,23.3,27.8,29.6,104.2,232.1,266.9,216.4,204.5,43.5,45.6,36.8,1245.6,38.2,161.6,920.0,125.9,1
2080,50.6,18.3,30.3,25.7,93.3,186.1,386.0,267.2,140.1,61.9,31.2,25.2,1316.0,69.0,149.3,979.4,118.3,1
2081,25.5,31.5,33.9,56.7,22.3,201.3,267.0,313.5,113.8,46.7,35.1,15.3,1162.7,57.0,112.9,895.7,97.1,0
2082,7.7,17.8,22.0,27.3,68.3,183.6,157.9,257.9,224.0,35.5,47.0,4.8,1053.6,25.5,117.5,823.3,87.2,1
2083,5.1,17.4,26.4,40.3,82.6,212.8,267.6,369.0,236.7,59.4,14.5,18.2,1350.1,22.5,149.3,1086.1,92.1,1
2084,23.8,32.2,36.6,78.9,79.3,88.3,227.3,177.3,228.8,84.8,40.4,15.3,1113.1,56.0,194.9,721.6,140.5,1
2085,15.3,26.7,48.7,66.9,44.4,125.9,275.3,356.3,198.1,60.2,38.4,15.0,1271.1,42.0,160.0,955.6,113.6,1
